,name,last_season,average_value
241,Adam Barton,2017.0,216666.66666666666
242,Adam Bodzek,2019.0,671323.5294117647
243,Adam Brown,2014.0,71428.57142857143
244,Adam Buksa,2023.0,2196739.1304347827
245,Adam Buxton,2012.0,50000.0
246,Adam Campbell,2014.0,250000.0
247,Adam Clayton,2016.0,1830434.7826086956
248,Adam Collin,2015.0,210000.0
249,Adam Cummins,2014.0,116666.66666666667
250,Adam Daghim,2022.0,166666.66666666666
251,Adam Davies,2023.0,419444.44444444444
252,Adam Devine,2023.0,150000.0
253,Adam Drury,2014.0,50000.0
254,Adam Dzwigala,2019.0,270833.3333333333
255,Adam Eckersley,2018.0,278333.3333333333
256,Adam Evans,2013.0,25000.0
257,Adam Federici,2017.0,820454.5454545454
258,Adam Forshaw,2022.0,2494318.1818181816
259,Adam Frizzell,2019.0,183333.33333333334
260,Adam Gabriel,2023.0,204166.66666666666
261,Adam Gnezda Cerin,2023.0,1117307.6923076923
262,Adam Hammill,2018.0,667647.0588235294
263,Adam Hlousek,2015.0,870394.7368421053
264,Adam Hlozek,2023.0,10707142.857142856
265,Adam Hutchinson,2022.0,50000.0
266,Adam Idah,2021.0,2090000.0
267,Adam Jackson,2019.0,256250.0
268,Adam Jakobsen,2018.0,171428.57142857142
269,Adam Jakubech,2023.0,528750.0
270,Adam Johnson,2015.0,6397727.2727272725
271,Adam King,2020.0,133333.33333333334
272,Adam Kokoszka,2014.0,413000.0
273,Adam Kolberg,2014.0,25000.0
274,Adam Kwarasey,2016.0,726136.3636363636
275,Adam Lallana,2023.0,10629687.5
276,Adam Le Fondre,2023.0,1477500.0
277,Adam Legzdins,2023.0,226190.47619047618
278,Adam Lewis,2021.0,433333.3333333333
279,Adam Livingstone,2019.0,25000.0
280,Adam Mackinnon,2023.0,41666.666666666664
281,Adam Maher,2021.0,4013333.3333333335
282,Adam Marusic,2023.0,5588636.363636363
283,Adam Masina,2023.0,3782291.6666666665
284,Adam Matthews,2016.0,1673333.3333333333
285,Adam Matuszczyk,2014.0,926562.5
286,Adam Montgomery,2022.0,410000.0
287,Adam Morgan,2014.0,200000.0
288,Adam Nemec,2015.0,688513.5135135135
289,Adam Obert,2023.0,1070000.0
290,Adam Oudjani,2020.0,180000.0
291,Adam Ounas,2023.0,6395000.0
292,Adam Parkes,2019.0,150000.0
293,Adam Phillips,2018.0,187500.0
294,Adam Reach,2016.0,2652500.0
295,Adam Rooney,2017.0,505000.0
296,Adam Sarota,2014.0,403846.1538461539
297,Adam Smith,2014.0,171428.57142857142
298,Adam Smith,2023.0,3290476.1904761903
299,Adam Stachowiak,2019.0,364655.1724137931
300,Adam Stahl,2017.0,276923.07692307694
301,Adam Sörensen,2022.0,258333.33333333334
302,Adam Taggart,2015.0,873684.2105263158
303,Adam Tzanetopoulos,2023.0,498611.1111111111
304,Adam Vendelbo,2022.0,50000.0
305,Adam Webster,2023.0,9642500.0
306,Adam Zrelak,2018.0,604166.6666666666
307,Adam Örn Arnarson,2015.0,148333.33333333334
308,Adama Ba,2020.0,364772.7272727273
309,Adama Diakhaby,2018.0,3940000.0
310,Adama Diomande,2016.0,1219565.2173913044
311,Adama Fofana,2021.0,94444.44444444444
312,Adama François,2015.0,416666.6666666667
313,Adama Guira,2020.0,334722.22222222225
314,Adama Mbengue,2018.0,1395833.3333333333
315,Adama Niane,2020.0,1222500.0
316,Adama Soumaoro,2023.0,3296551.724137931
317,Adama Tamboura,2015.0,552777.7777777778
318,Adama Traoré,2018.0,727380.9523809524
319,Adama Traoré,2020.0,1708333.3333333333
320,Adama Traoré,2021.0,4234090.909090909
321,Adama Traoré,2023.0,15996296.296296297
322,Adamo Coulibaly,2014.0,453409.0909090909
323,Adamo Nagalo,2023.0,1566666.6666666667
324,Aday Benítez,2018.0,821052.6315789474
325,Ade Runsewe,2014.0,164545.45454545456
326,Adebayo Azeez,2016.0,100000.0
327,Adedeji Oshilaja,2013.0,208333.33333333334
328,Adel Bettaieb,2022.0,167500.0
329,Adel Gafaiti,2017.0,43750.0
330,Adel Taarabt,2021.0,3767567.5675675673
331,Adem Alkasi,2013.0,344047.61904761905
332,Adem Büyük,2021.0,1628947.3684210526
333,Adem Candir,2012.0,50000.0
334,Adem Dogan,2020.0,100000.0
335,Adem Eren Kabak,2022.0,132142.85714285713
336,Adem Güven,2014.0,222222.22222222222
337,Adem Kocak,2015.0,1006060.6060606061
338,Adem Ljajić,2022.0,7495000.0
339,Adem Metin Türk,2020.0,79166.66666666667
340,Adem Zorgane,2023.0,2816666.6666666665
341,Ademola Lookman,2023.0,13225000.0
342,Aderinsola Habib Eseola,2022.0,1186764.705882353
343,Aderlan,2015.0,735000.0
344,Aderllan Santos,2023.0,2846000.0
345,Adessoye Oyewole,2020.0,157608.69565217392
346,Adewale Oladoye,2021.0,200000.0
347,Adi Adilovic,2012.0,220000.0
348,Adi Gotlieb,2019.0,369642.85714285716
349,Adi Mehremic,2022.0,221739.13043478262
350,Adigun Salami,2014.0,588888.8888888889
351,Adil Aouchiche,2022.0,5660000.0
352,Adil Auassar,2022.0,439166.6666666667
353,Adil Ben Achour,2020.0,150000.0
354,Adil Demirbag,2023.0,926136.3636363636
355,Adil Hermach,2012.0,1459375.0
356,Adil Mukhametzyanov,2018.0,119444.44444444444
357,Adil Nabi,2021.0,319642.85714285716
358,Adil Rami,2022.0,5418181.818181818
359,Adil Ramzi,2012.0,791666.6666666666
360,Adil Rhaili,2021.0,263636.36363636365
361,Adil Taoui,2019.0,287500.0
362,Adil Tihouna,2013.0,50000.0
363,Adilson,2012.0,492857.14285714284
364,Adilson,2014.0,305000.0
365,Adilson,2016.0,2419565.217391304
366,Adilson Goiano,2016.0,710000.0
367,Adilson Júnior,2013.0,200000.0
368,Adilson Malanda,2020.0,670000.0
369,Adilson Maringá,2018.0,233333.33333333334
370,Adis Jahovic,2021.0,853448.275862069
371,Adlan Katsaev,2018.0,351923.07692307694
372,Adlène Guédioura,2016.0,1094791.6666666667
373,Admir Bajrovic,2023.0,228571.42857142858
374,Admir Mehmedi,2022.0,3946527.777777778
375,Adnan Aganovic,2017.0,398214.28571428574
376,Adnan Aktas,2023.0,50000.0
377,Adnan Alisic,2014.0,235000.0
378,Adnan Januzaj,2023.0,9461538.461538462
379,Adnan Kanuric,2022.0,128571.42857142857
380,Adnan Karabulut,2016.0,25000.0
381,Adnan Maric,2017.0,160000.0
382,Adnan Secerovic,2020.0,258333.33333333334
